Calumet,1                                 
East Chicago Central,2                    
Gary West Side,3                          
Griffith,4                                
Hammond,5                                 
Hammond Academy of Science & Technology,6 
Hammond Bishop Noll,7                     
Hammond Clark,8                           
Hammond Gavit,9                           
Hammond Morton,10                         
Highland,11                               
Lake Central,12                           
Munster,13                                
Whiting,14                                
21st Century Charter - Gary,15            
Andrean,16                                
Crown Point,17                            
Lighthouse CPA,18                         
Gary Roosevelt,19                         
Hanover Central,20                        
Hebron,21                                 
Hobart,22                                 
Lowell,23                                 
Merrillville,24                           
River Forest,25                           
Boone Grove,26                            
Chesterton,27                             
Lake Station Edison,28                    
LaPorte,29                                
Marquette Catholic,30                     
Michigan City,31                          
New Prairie,32                            
Portage,33                                
South Central (Union Mills),34            
Valparaiso,35                             
Washington Township,36                    
Westville,37                              
Wheeler,38                                
Covenant Christian (DeMotte),39           
Kankakee Valley,40                        
Knox,41                                   
Kouts,42                                  
LaCrosse,43                               
Morgan Township,44                        
North Judson-San Pierre,45                
North Newton,46                           
Oregon-Davis,47                           
Rensselaer Central,48                     
South Newton,49                           
West Central,50                           
Attica,51                                 
Benton Central,52                         
Covington,53                              
Crawfordsville,54                         
Fountain Central,55                       
Frontier,56                               
North Montgomery,57                       
North Vermillion,58                       
North White,59                            
Seeger,60                                 
Southmont,61                              
Tri-County,62                             
Twin Lakes,63                             
Clinton Central,64                        
Clinton Prairie,65                        
Delphi Community,66                       
Faith Christian,67                        
Frankfort,68                              
Harrison (West Lafayette),69              
Lafayette Central Catholic,70             
Lafayette Jefferson,71                    
McCutcheon,72                             
Rossville,73                              
West Lafayette,74                         
Western Boone,75                          
Argos,76                                  
Caston,77                                 
Culver Academies,78                       
Culver Community,79                       
Manchester,80                             
North Miami,81                            
Plymouth,82                               
Rochester Community,83                    
Tippecanoe Valley,84                      
Triton,85                                 
Warsaw Community,86                       
Carroll (Flora),87                        
Cass,88                                   
Eastern (Greentown),89                    
Kokomo,90                                 
Logansport,91                             
Maconaquah,92                             
Northwestern,93                           
Peru,94                                   
Pioneer,95                                
Taylor,96                                 
Western,97                                
Winamac Community,98                      
Bremen,99                                 
Glenn,100                                 
LaVille,101                               
Mishawaka,102                             
Mishawaka Marian,103                      
Penn,104                                  
South Bend Adams,105                      
South Bend Career Academy,106             
South Bend Clay,107                       
South Bend Riley,108                      
South Bend St. Joseph,109                 
South Bend Washington,110                 
Bethany Christian,111                     
Concord,112                               
Elkhart Central,113                       
Elkhart Christian Academy,114             
Elkhart Memorial,115                      
Fairfield,116                             
Goshen,117                                
Jimtown,118                               
Lakeland Christian Academy,119            
Northridge,120                            
NorthWood,121                             
Wawasee,122                               
Angola,123                                
Central Noble,124                         
Churubusco,125                            
DeKalb,126                                
East Noble,127                            
Eastside,128                              
Fremont,129                               
Hamilton,130                              
Lakeland,131                              
Prairie Heights,132                       
West Noble,133                            
Westview,134                              
Carroll (Fort Wayne),135                  
Columbia City,136                         
Fort Wayne Bishop Dwenger,137             
Fort Wayne Blackhawk Christian,138        
Fort Wayne Concordia Lutheran,139         
Fort Wayne North Side,140                 
Fort Wayne Northrop,141                   
Fort Wayne Snider,142                     
Garrett,143                               
Homestead,144                             
Lakewood Park Christian,145               
Leo,146                                   
Whitko,147                                
Adams Central,148                         
Bellmont,149                              
Bluffton,150                              
Fort Wayne Bishop Luers,151               
Fort Wayne Canterbury,152                 
Fort Wayne South Side,153                 
Fort Wayne Wayne,154                      
Heritage,155                              
New Haven,156                             
Norwell,157                               
Smith Academy for Excellence,158          
South Adams,159                           
Woodlan,160                               
Blackford,161                             
Eastbrook,162                             
Huntington North,163                      
Madison-Grant,164                         
Marion,165                                
Mississinewa,166                          
Northfield,167                            
Oak Hill,168                              
Southern Wells,169                        
Southwood,170                             
Wabash,171                                
Alexandria Monroe,172                     
