SchoolName,SchoolID,Address,City,State,Zip,Lat,Lon
Calumet,1,3900 Calhoun St,Gary,IN,46408,41.5478448152091,-87.4084532338318
East Chicago Central,2,1100 W Columbus Dr,East Chicago,IN,46312,41.6395871288847,-87.4863386508126
Gary West Side,3,W 9th Ave Gerry St,Gary,IN,46406,41.59921,-87.41224
Griffith,4,600 N Wiggs St,Griffith,IN,46319,41.5327694482255,-87.4375031911223
Hammond,5,5926 Calumet Ave,Hammond,IN,46320,41.60556,-87.5091033976442
Hammond Academy of Science & Technology,6,33 Muenich Ct,Hammond,IN,46320,41.6174468939139,-87.5232398693275
Hammond Bishop Noll,7,1519 Hoffman St,Hammond,IN,46327,41.6269163847121,-87.4929844645194
Hammond Clark,8,1921 Davis Ave,Whiting,IN,46394,41.6786065841176,-87.5071763943405
Hammond Gavit,9,1670 175th St,Hammond,IN,46324,41.5774089208018,-87.4875264005292
Hammond Morton,10,6915 Grand Ave,Hammond,IN,46323,41.5874216666667,-87.4420066538892
Highland,11,9135 Erie St,Highland,IN,46322,41.5475135897436,-87.460196767107
Lake Central,12,8400 Wicker Ave,St John,IN,46373,41.4658266666667,-87.4705830018622
Munster,13,8808 Columbia Ave,Munster,IN,46321,41.5533884839335,-87.5032539272124
Whiting,14,1751 Oliver St,Whiting,IN,46394,41.6814286770363,-87.4942051075453
21st Century Charter - Gary,15,556 Washington St,Gary,IN,46402,41.6007094032821,-87.3386245400665
Andrean,16,5959 Broadway,Merrillville,IN,46410,41.5103378575648,-87.3358868947179
Crown Point,17,1500 S Main St,Crown Point,IN,46307,41.3911728000533,-87.3642580064705
Lighthouse CPA,18,725 Clark Road,Gary,IN,46406,41.5982103448276,-87.3936466232428
Gary Roosevelt,19,730 W 25th Ave,Gary,IN,46407,41.5733971325916,-87.34558
Hanover Central,20,10120 W 133rd Ave,Cedar Lake,IN,46303,41.3774408520788,-87.4573810881636
Hebron,21,509 S Main St,Hebron,IN,46341,41.31259,-87.199697428962
Hobart,22,2211 E 10th St,Hobart,IN,46342,41.5215817209557,-87.2321673030738
Lowell,23,2051 E Commercial Ave,Lowell,IN,46356,41.2899951001994,-87.3934440333764
Merrillville,24,276 E 68th Pl,Merrillville,IN,46410,41.4934893752508,-87.3321418109885
River Forest,25,3300 Indiana St,Hobart,IN,46342,41.5577346173255,-87.2786849713836
Boone Grove,26,260 S 500 W,Valparaiso,IN,46385,41.3966734987416,-87.161962807025
Chesterton,27,2125 S 11th St,Chesterton,IN,46304,41.587143038674,-87.0665266546805
Lake Station Edison,28,3304 Parkside Ave,Lake Station,IN,46405,41.5765185726008,-87.2437779220845
LaPorte,29,602 F St,La Porte,IN,46350,41.6003414587748,-86.7255833724366
Marquette Catholic,30,306 W 10th St,Michigan City,IN,46360,41.7108502934195,-86.9031896916447
Michigan City,31,8466 W Pahs Rd,Michigan City,IN,46360,41.6800603530375,-86.8635382996945
New Prairie,32,5333 N Cougar Rd,New Carlisle,IN,46552,41.6847628711328,-86.5645003503961
Portage,33,6450 US Hwy 6,Portage,IN,46368,41.5507771303007,-87.1655589408146
South Central (Union Mills),34,9808 S 600 W,Union Mills,IN,46382,41.4714758510258,-86.8152429340245
Valparaiso,35,2727 N Campbell St,Valparaiso,IN,46385,41.4931803995161,-87.0661466943144
Washington Township,36,381 E State Rd 2,Valparaiso,IN,46383,41.484051332221,-86.9930045738519
Westville,37,207 E Valparaiso St,Westville,IN,46391,41.5409337792273,-86.89456186859
Wheeler,38,587 W 300 N,Valparaiso,IN,46385,41.4782452007498,-87.1791754263277
Covenant Christian (DeMotte),39,611 15th St SW,De Motte,IN,46310,41.1878837335886,-87.2056108998081
Kankakee Valley,40,3923 IN-10,Wheatfield,IN,46392,41.1864935969674,-86.9692452275961
Knox,41,1 Redskin Trail,Knox,IN,46534,41.2860171325916,-86.62495
